u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,ref,bridge,junction,tunnel,geometry
8598260,11068538,0,28326833,residential,,,Fitzroy Street,False,False,151.95119180804159,,,,,"LINESTRING (-63.133228 46.234157, -63.133956 46.233764, -63.134022 46.233748, -63.134235 46.233724, -63.134352 46.233717, -63.134537 46.233733, -63.134929 46.233768, -63.134995 46.233776)"
8598265,8598529,0,69692649,tertiary,2,,Queen Street,False,False,120.9454876700697,,,,,"LINESTRING (-63.13018 46.236072, -63.130232 46.236111, -63.131239 46.236876)"
8598265,8599453,0,69692649,tertiary,2,,Queen Street,False,True,123.27633920102443,,,,,"LINESTRING (-63.13018 46.236072, -63.130112 46.236022, -63.129802 46.235799, -63.129651 46.235689, -63.129161 46.235332, -63.129074 46.235269)"
8598265,10858056,0,335210726,residential,,,Fitzroy Street,True,False,159.1507501152527,,,,,"LINESTRING (-63.13018 46.236072, -63.131606 46.235173, -63.13171 46.235108)"
8598271,8598558,0,393898873,primary,,40,Great George Street,False,True,120.4787661209278,,,,,"LINESTRING (-63.128641 46.237034, -63.129688 46.23784)"
8598271,8598265,0,335210726,residential,,,Fitzroy Street,True,False,159.58067881921917,,,,,"LINESTRING (-63.128641 46.237034, -63.128803 46.236931, -63.128899 46.23687, -63.129686 46.236378, -63.130081 46.236135, -63.13018 46.236072)"
8598271,8599096,0,335210733,primary,,40,Great George Street,False,False,123.75688561010172,,,,,"LINESTRING (-63.128641 46.237034, -63.128578 46.236986, -63.128458 46.236893, -63.12816 46.236664, -63.127662 46.236282, -63.127564 46.236206)"
8598523,61565553,0,2764559,secondary,2,,Euston Street,False,False,13.789062433052909,,,,,"LINESTRING (-63.134218 46.234924, -63.1341 46.235018)"
8598523,8598260,0,2830732,residential,,,Rochford Street,False,False,114.35035132711684,,,,,"LINESTRING (-63.134218 46.234924, -63.133228 46.234157)"
8598523,2313298790,0,"[334345329, 1085313645]",secondary,2,,"['Brighton Road', 'Euston Street']",False,True,86.97177716889186,,,,,"LINESTRING (-63.134218 46.234924, -63.134483 46.234708, -63.134695 46.234532, -63.134821 46.234432, -63.134975 46.234346)"
8598529,8598558,0,2764559,secondary,2,,Euston Street,False,False,160.391214251574,,,,,"LINESTRING (-63.131239 46.236876, -63.129688 46.23784)"
8598529,10858059,0,2764559,secondary,2,,Euston Street,False,True,150.12853285038338,,,,,"LINESTRING (-63.131239 46.236876, -63.132668 46.235956)"
8598529,311073709,0,393243507,tertiary,2,,Queen Street,False,False,71.97266309432939,,,,,"LINESTRING (-63.131239 46.236876, -63.131886 46.237344)"
8598529,8598265,0,69692649,tertiary,2,,Queen Street,False,True,120.9454876700697,,,,,"LINESTRING (-63.131239 46.236876, -63.130232 46.236111, -63.13018 46.236072)"
